event_route	route_count
main	8163
main-archive	1109
main-rabota	1047
main-internet	895
main-bonus	865
main-news	766
main-tariffs	678
main-online	582
main-vklad	517
main-rabota-archive	170
main-archive-rabota	167
main-bonus-archive	141
main-rabota-bonus	137
main-news-rabota	137
main-bonus-rabota	134
main-archive-internet	132
main-rabota-news	131
main-internet-rabota	129
main-archive-news	126
main-internet-archive	125
main-rabota-internet	123
main-archive-bonus	118
main-internet-bonus	115
main-tariffs-internet	114
main-news-archive	111
main-news-internet	109
main-tariffs-archive	103
main-internet-news	102
main-archive-tariffs	102
main-rabota-main	97
